,Province,Year,Total Emissions,Post,Treatment_Group
0,Alberta,2004,107672329.08935,0,1
1,Alberta,2005,106918237.82492,0,1
2,Alberta,2006,113851195.136284,0,1
3,Alberta,2007,112409043.386605,0,1
4,Alberta,2008,119586420.78499,0,1
5,Alberta,2009,118087284.25519401,0,1
6,Alberta,2010,123251973.17877,0,1
7,Alberta,2011,123934989.806113,0,1
8,Alberta,2012,126890290.04184599,0,1
9,Alberta,2013,132507698.039612,0,1
10,Alberta,2014,139201145.595893,0,1
11,Alberta,2015,141113002.637262,0,1
12,Alberta,2016,140653145.811877,1,1
13,Alberta,2017,158316909.790214,1,1
14,Alberta,2018,156682167.321012,1,1
15,Alberta,2019,155280600.610812,1,1
16,British Columbia,2004,14732159.1821,0,0
17,British Columbia,2005,14018200.514265,0,0
18,British Columbia,2006,12744989.204209,0,0
19,British Columbia,2007,13073148.379548,0,0
20,British Columbia,2008,13429479.827683,0,0
21,British Columbia,2009,13609824.550959,0,0
22,British Columbia,2010,14174804.616618,0,0
23,British Columbia,2011,14745028.25917,0,0
24,British Columbia,2012,14658445.974217,0,0
25,British Columbia,2013,15177907.24254,0,0
26,British Columbia,2014,14724817.03433,0,0
27,British Columbia,2015,13831596.834796,0,0
28,British Columbia,2016,13520180.78036,1,0
29,British Columbia,2017,16584669.356322,1,0
30,British Columbia,2018,15999809.080079,1,0
31,British Columbia,2019,16060573.69115,1,0
32,Manitoba,2004,2560036.4491,0,0
33,Manitoba,2005,2907763.8487,0,0
34,Manitoba,2006,2520691.06422,0,0
35,Manitoba,2007,2484074.489049,0,0
36,Manitoba,2008,2361646.6727,0,0
37,Manitoba,2009,2141642.947079,0,0
38,Manitoba,2010,1890133.4650980001,0,0
39,Manitoba,2011,2019979.778955,0,0
40,Manitoba,2012,1889089.0324360002,0,0
41,Manitoba,2013,2037928.157936,0,0
42,Manitoba,2014,1961438.3431799999,0,0
43,Manitoba,2015,2095400.972404,0,0
44,Manitoba,2016,1836026.778821,1,0
45,Manitoba,2017,2413033.73831,1,0
46,Manitoba,2018,2593293.43046,1,0
47,Manitoba,2019,2642052.07865,1,0
48,New Brunswick,2004,12979244.27871,0,0
49,New Brunswick,2005,12653652.592,0,0
50,New Brunswick,2006,10234023.135895,0,0
51,New Brunswick,2007,10910133.64581,0,0
52,New Brunswick,2008,10287060.58962,0,0
53,New Brunswick,2009,10120608.46804,0,0
54,New Brunswick,2010,8230716.03177,0,0
55,New Brunswick,2011,7864798.19515,0,0
56,New Brunswick,2012,7214205.943399999,0,0
57,New Brunswick,2013,7517832.44075,0,0
58,New Brunswick,2014,7556874.7389899995,0,0
59,New Brunswick,2015,7260000.64608,0,0
60,New Brunswick,2016,7795519.09044,1,0
61,New Brunswick,2017,6978614.63634,1,0
62,New Brunswick,2018,7010130.10256,1,0
63,New Brunswick,2019,6804589.63472,1,0
64,Newfoundland and Labrador,2004,5388416.0298999995,0,0
65,Newfoundland and Labrador,2005,5398174.8882,0,0
66,Newfoundland and Labrador,2006,4975368.9012,0,0
67,Newfoundland and Labrador,2007,5448217.824200001,0,0
68,Newfoundland and Labrador,2008,5290506.794199999,0,0
69,Newfoundland and Labrador,2009,4392257.44164,0,0
70,Newfoundland and Labrador,2010,4560159.51236,0,0
71,Newfoundland and Labrador,2011,4267238.24921,0,0
72,Newfoundland and Labrador,2012,4345910.03625,0,0
73,Newfoundland and Labrador,2013,4370561.05801,0,0
74,Newfoundland and Labrador,2014,4677639.52185,0,0
75,Newfoundland and Labrador,2015,4804955.77094,0,0
76,Newfoundland and Labrador,2016,5434786.2824,1,0
77,Newfoundland and Labrador,2017,5812893.8957,1,0
78,Newfoundland and Labrador,2018,5433761.9006,1,0
79,Newfoundland and Labrador,2019,5638786.2298,1,0
80,Northwest Territories,2004,366550.07550000004,0,0
81,Northwest Territories,2005,360402.5898,0,0
82,Northwest Territories,2006,320431.49809999997,0,0
83,Northwest Territories,2007,521820.447,0,0
84,Northwest Territories,2008,533452.0342999999,0,0
85,Northwest Territories,2009,589935.776846,0,0
86,Northwest Territories,2010,545027.5529,0,0
87,Northwest Territories,2011,554957.7465,0,0
88,Northwest Territories,2012,549781.9638,0,0
89,Northwest Territories,2013,591377.0406,0,0
90,Northwest Territories,2014,576429.587,0,0
91,Northwest Territories,2015,668965.0025899999,0,0
92,Northwest Territories,2016,570022.14776,1,0
93,Northwest Territories,2017,574592.7763,1,0
94,Northwest Territories,2018,610584.6588900001,1,0
95,Northwest Territories,2019,609509.04973,1,0
96,Nova Scotia,2004,11778042.6673,0,0
97,Nova Scotia,2005,11751279.1563,0,0
98,Nova Scotia,2006,10809721.153099999,0,0
99,Nova Scotia,2007,11420755.58452,0,0
100,Nova Scotia,2008,11109785.1744,0,0
101,Nova Scotia,2009,10787904.00598,0,0
102,Nova Scotia,2010,10614842.38462,0,0
103,Nova Scotia,2011,9879027.422629999,0,0
104,Nova Scotia,2012,8826049.678030001,0,0
105,Nova Scotia,2013,9130143.94228,0,0
106,Nova Scotia,2014,7828643.04762,0,0
107,Nova Scotia,2015,7610131.33576,0,0
108,Nova Scotia,2016,7795442.0709,1,0
109,Nova Scotia,2017,7507081.19059,1,0
110,Nova Scotia,2018,7664809.81551,1,0
111,Nova Scotia,2019,7132639.92846,1,0
112,Nunavut,2010,134626.458,0,0
113,Nunavut,2011,198797.93818,0,0
114,Nunavut,2012,203299.95,0,0
115,Nunavut,2013,195520.35,0,0
116,Nunavut,2014,179859.0,0,0
117,Nunavut,2015,187192.19,0,0
118,Nunavut,2016,260336.14245,1,0
119,Nunavut,2017,382888.655,1,0
120,Nunavut,2018,507019.23876,1,0
121,Nunavut,2019,600838.91453,1,0
122,Ontario,2004,76989944.856555,0,0
123,Ontario,2005,78701595.3981,0,0
124,Ontario,2006,71579611.1123,0,0
125,Ontario,2007,74347601.85978201,0,0
126,Ontario,2008,67341286.350447,0,0
127,Ontario,2009,50078420.130641,0,0
128,Ontario,2010,56256358.781511,0,0
129,Ontario,2011,49700566.155224,0,0
130,Ontario,2012,50294983.528206,0,0
131,Ontario,2013,45667079.34371,0,0
132,Ontario,2014,43029701.728849,0,0
133,Ontario,2015,41852330.066548,0,0
134,Ontario,2016,41492249.36842,1,0
135,Ontario,2017,42773677.615188,1,0
136,Ontario,2018,45864670.367088,1,0
137,Ontario,2019,44207830.790019,1,0
138,Prince Edward Island,2004,107000.0,0,0
139,Prince Edward Island,2005,104329.8,0,0
140,Prince Edward Island,2006,99608.36281,0,0
141,Prince Edward Island,2007,101965.7609,0,0
142,Prince Edward Island,2008,98589.0,0,0
143,Prince Edward Island,2009,74103.0,0,0
144,Prince Edward Island,2010,62811.0,0,0
145,Prince Edward Island,2011,65119.37,0,0
146,Prince Edward Island,2012,52671.72109,0,0
147,Prince Edward Island,2013,59549.05252,0,0
148,Prince Edward Island,2014,55494.26237,0,0
149,Prince Edward Island,2015,50331.51172,0,0
150,Prince Edward Island,2016,55106.91078,1,0
151,Prince Edward Island,2017,99580.45300000001,1,0
152,Prince Edward Island,2018,95696.118835,1,0
153,Prince Edward Island,2019,83191.8859,1,0
154,Quebec,2004,23630961.148603,0,0
155,Quebec,2005,22571894.73932,0,0
156,Quebec,2006,22686698.335659,0,0
157,Quebec,2007,23610248.59288,0,0
158,Quebec,2008,20279730.039582,0,0
159,Quebec,2009,20843371.065497,0,0
160,Quebec,2010,21149163.190389,0,0
161,Quebec,2011,20535305.861237,0,0
162,Quebec,2012,21043977.174218,0,0
163,Quebec,2013,20174667.924992,0,0
164,Quebec,2014,20323062.434431,0,0
165,Quebec,2015,19969873.224905,0,0
166,Quebec,2016,19516036.060855,1,0
167,Quebec,2017,22638894.51084,1,0
168,Quebec,2018,21844060.14745,1,0
169,Quebec,2019,22872928.586107,1,0
170,Saskatchewan,2004,22180954.190299,0,0
171,Saskatchewan,2005,22611082.8186,0,0
172,Saskatchewan,2006,22117871.3799,0,0
173,Saskatchewan,2007,23002415.814485,0,0
174,Saskatchewan,2008,21935647.1944,0,0
175,Saskatchewan,2009,22460388.580682,0,0
176,Saskatchewan,2010,22861571.975580998,0,0
177,Saskatchewan,2011,22474821.807945,0,0
178,Saskatchewan,2012,23562120.52132,0,0
179,Saskatchewan,2013,23784578.350889,0,0
180,Saskatchewan,2014,23893259.02036,0,0
181,Saskatchewan,2015,24868681.98998,0,0
182,Saskatchewan,2016,25117279.633527998,1,0
183,Saskatchewan,2017,28932143.91569,1,0
184,Saskatchewan,2018,29371406.468675,1,0
185,Saskatchewan,2019,29033362.715855,1,0
186,Yukon,2009,11734.89792,0,0
187,Yukon,2010,11635.11523,0,0
188,Yukon,2011,12040.03939,0,0
189,Yukon,2012,12567.05904,0,0
190,Yukon,2013,12366.96196,0,0
191,Yukon,2014,12230.31347,0,0
192,Yukon,2015,11878.80022,0,0
193,Yukon,2016,12214.02343,1,0
194,Yukon,2017,30013.92022,1,0
195,Yukon,2018,35719.462660000005,1,0
196,Yukon,2019,36084.2102,1,0
